HarmonizedScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species
Prosopis laevigata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,Prosopis laevigata
Prosopis velutina,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,Prosopis velutina
Prunus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,x
Prunus capuli,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus capuli
Prunus serotina,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus serotina
Prunus serotina var. salicifolia,ITIS,subspecies,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus serotina
Pseudabutilon ellipticum,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Mavales,Malvaceae,Pseudabutilon,Pseudabutilon ellipticum
Pseudoscorpiones,ITIS,order,Animalia,Arthropoda,Euchelicerata,Pseudoscorpiones,x,x,x
Pseudotsuga menziesii,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaecae,Pseudotsuga,Pseudotsuga menziesii
Psidium,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Psidium,x
Pterostichus,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,x
Pyrocephalus rubinus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pyrocephalus,Pyrocephalus rubinus
Pyrus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Pyrus,x
Quercus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,x
Quercus stellata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus stellata
Quiscalus mexicanus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,Quiscalus mexicanus
Randia megacarpa,not recognized,species,Plantae,Tracheophyta,Magnoliopsida,Gentianales ,Rubiaceae,Randia,Randia megacarpa
Rattus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Rattus,x
Rattus norvegicus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus
Rattus rattus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus rattus
Recurvirostra americana,ITIS,species,Animalia,Chordata,Aves,Charadriiformers,Recurvirostridae,Recurvirostra,Recurvirostra americana
Reinthrodontomy,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,x
Reithrodont megalotis ,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodont megalotis 
Reithrodontomys,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,x
Reithrodontomys fulvescens,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys fulvescens
Reithrodontomys megalotis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys megalotis
Reithrodontomys microdon,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys microdon
Reithrodontomys sumichrasti,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys sumichrasti
Reptilia,ITIS,class,Animalia,Chordata,Reptilia,x,x,x,x
Rhamnus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamneaceae,Rhamnus,x
Rhamnus purshiana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Rhamnus,Rhamnus purshiana
Rhaphidophoridae,ITIS,family,Animalia,Arthropoda,Insecta,Orthoptera,Rhaphidophoridae,x,x
Rhynchopsitta pachyrhynch,ITIS,species,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Rhynchopsitta,Rhynchopsitta pachyrhyncha
Ribes,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Grossulariaceae,Ribes,x
Robinia pseudoacacia,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,Robinia pseudoacacia
Rodentia,ITIS,order,Animalia,Chordata,Mammalia,Rodentia,x,x,x
Rodentia ,ITIS,order,Animalia,Chordata,Mammalia,Rodentia,x,x,x
Rosa,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,x
Rosa californica,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa californica
Rosacea,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,x,x
Rosaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,,
Rubia tinctorum,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Rubia,Rubia tinctorum
Rubiaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,,
Rubus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,x
Salmonidae,ITIS,family,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,x,x
Santalales,ITIS,order,Plantae,Tracheophyta,Magnoliopsida,Santalanae,Santalales,x,x
Sapindus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Sapindus,x
Sauromalus ater,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sauromalus,Sauromalus ater
Scaphinotus,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Scaphinotus,
Scarabaeidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,x,x
Scarabaidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,x,x
Scarabeidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Scarabeidae,x,x
Sceloporus,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,x
Sceloporus aeneus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus aeneus
Sceloporus graciosus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus graciosus
Sceloporus magister,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus magister
Sceloporus occidentalis,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus occidentalis
Sceloporus torquatus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus torquatus
Sceloporus undulatus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus undulatus
Schistocerca,ITIS,genus,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca,x
Sciuridae,ITIS,family,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,x,x
Sciurus aureogaster ,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus aureogaster 
Sciurus griseus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Scuiridae,Sciurus,Sciurus griseus
Sciurus niger,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus niger
Sciurus oculatus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus oculatus
Sclerosomatidae,ITIS,family,Animalia,Arthropoda,Euchelicerata,Opiliones,Sclerosomatidae,x,x
Scolopendra,ITIS,genus,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,x
Scolopendromorpha,ITIS,order,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,x,x,x
Scorpiones,ITIS,order,Animalia,Arthropoda,Euchelicerata,Scorpiones,x,x,x
Scorpionidae,ITIS,family,Animalia,Arthropoda,Euchelicerata,Scorpiones,Scorpionidae,x,x
Scuirdiae,ITIS,family,Animalia,Chordata,Mammalia,Rodentia,Scuirdiae,x,x
Scurius aureogaster,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Scurius,Scurius aureogaster
Serpentes,ITIS,suborder,Animalia,Chordata,Reptilia,Squamata,x,x,x
Sesamum indicum,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Pedaliaceae,Sesamum,Sesamum indicum
Setophaga,ITIS,genus,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,x
Setophaga nigrescens,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga nigrescens
Sida rhombifolia,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sida,Sida rhombifolia
Sideroxylon lanuginosum ssp. lanuginosum,ITIS,subspecies,Plantae,Tracheophyta,Magnoliopsida,Ericales ,Sapotaceae,Sideroxylon,Sideroxylon lanuginosum
Sigmodon,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,x
Sigmodon hispidus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon hispidus
Simsia amblexicaulis ,not recognized,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Simsia,Simsia amplexicaulis
"Simsia amplexicaulis",EOL,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Simsia,"Simsia amplexicaulis"
Sinodendron,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Sinodendron,x
Siphonaptera,ITIS,order,Animalia,Arthropoda,Insecta,Siphonaptera,x,x,x
Smilax,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Liliales,Smilacaceae,Smilax,x
Solanaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,x,x
Solanum,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,x
Solanum hindsianum,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum hindsianum
Solanum lycopersicum,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum lycopersicum
Solanum ptychanthum,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum ptychanthum
Solifugae,ITIS,order,Animalia,Arthropoda,Euchelicerata,Solifugae,x,x,x
Sonora semiannulata,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Sonora,Sonora semiannulata
Sophora,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Sophora,x
Sorex,ITIS,genus,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,x
Sorex milleri,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex milleri
Sorex palustris,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex palustris
Sorex saussurei,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex saussurei
Sorex vagrans,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex vagrans
Soricidae,ITIS,family,Animalia,Chordata,Mammalia,Sociomorpha,Soricidae,x,x
species,ITIS,family,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys bottae
Spermophilus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,x
Sphecidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,x,x
Sphenarium,ITIS,genus,Animalia,Arthropoda,Insecta,Pyrgomorphidae,,Sphenarium,x
Spirobolida,ITIS,order,Animalia,Arthropoda,Diplopoda,Spirobolida,x,x,x
Spirobolidae,ITIS,family,Animalia,Arthropoda,Diplopoda,Spirobolida,Spirobolidae,x,x
Spondias,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Spondias,x
Squamata,ITIS,order,Animalia,Chordata,Reptilia,Squamata,x,x,x
Stachyocnemus apicalis,ITIS,species,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,Stachyocnemus,Stachyocnemus apicalis
Staphylinidae,ITIS,family,Plantae,Arthropoda,Insecta,Coleoptera,Staphylinidae,x,x
Staphylinidae ,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae ,x,x
Stenocereus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Stenocereus,x
Stenocereus dumortieri,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Stenocereus,Stenocereus dumortieri
Stenocereus dumortieri,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Stenocereus,Stenocereus dumortieri
Stenocereus gummosus,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Stenocereus,Stenocereus gummosus
Stenocereus thurberi,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Caryophyllales,Cactaceae,Stenocereus,Stenocereus gummosus
Stenocerus thurberi,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Stenocereus,Stenocerus thurberi
Stenomorpha,EOL,genus,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Stenomorpha,x
Stenopalmatidae,ITIS,genus,Animalia,Arthropoda,Insecta,Orthoptera,Stenopelmatidae,Stenopelmatus,x
Stenopelmatus,ITIS,genus,Animalia,Arthropoda,Insecta,Orthoptera,Stenopelmatidae,Stenopelmatus,x
Sternorrhyncha,ITIS,suborder,Animalia,Arthropoda,Insecta,Hemiptera,x,x,x
Storeria storerioides,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Storeria,Storeria storerioides
Sturnella,ITIS,genus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,x
Sturnella neglecta,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,Sturnella neglecta
Stylommatophora,ITIS,order,Animalia,Mollusca,Gastropoda,Stylommatophora,x,x,x
Sylvilagus,ITIS,genus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,x
Sylvilagus audubonii,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus audubonii
Sylvilagus bachmani,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus bachmani
Sylvilagus floridanus,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus floridanus
Tagetes coronopfolia,not recognized,species,Plantae,Tracheophyta,Magnoliopsida ,Asterales,Asteraceae,Tagetes,Tagetes coronopfolia
Tamias dorsalis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Scuridae,Tamias,Tamias dorsalis
Tamias minimus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Scuridae,Tamias,Tamias minimus
Tamias townsendii,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Scuridae,Tamias,Tamias townsendii
Tamias umbrinus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Scuridae,Tamias,Tamias umbrinus
Taricha torosa,ITIS,species,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Taricha,Taricha torosa
Taxodium mucronatum,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Taxodium,Taxodium mucronatum
Taxus,ITIS,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Taxaceae,Taxus,x
Taxus brevifolia,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Taxaceae,Taxus,Taxus brevifolia
Teiidae,ITIS,family,Animalia,Chordata,Reptilia,Squamata,Teiidae,x,x
Teleostei,ITIS,class,Animalia,Chordata,Teleostei,x,x,x,x
Tenebrionidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,x,
Tetrapoda,ITIS,superclass,Animalia,Chordata,x,x,x,x,x
Tettigoniidae,ITIS,family,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,x,x
Thelyphonida,ITIS,family,Animalia,Arthropoda,Euchelicerata,Uropygi,Thelyphonida,x,x
Theraphosidae,ITIS,family,Animalia,Arthropoda,Euchelicerata,Araneae,Theraphosidae,x,x
Thevetia peruviana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida ,Gentianales ,Apocynaceae,Thevetia,Thevetia peruviana
Thomomys bottae,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys bottae
Tibellus,ITIS,genus,Animalia,Arthropoda,Euchelicerata,Araneae,Philodromidae,Tibellus,x
Tillandsia usneoides,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Poales,Bromeliaceae,Tilandsia,Tilandsia usneodes
Tipulidae,ITIS,family,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,x,x
Tomarus gibbosus,ITIS,species,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaedidae,Tomarus,Tomarus gibbosus
Tortricidae,ITIS,family,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,x,x
Toxostoma lecontei,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,Toxostoma lecontei
Toxostoma rufum,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,Toxostoma rufum
Tracheophyta,ITIS,phylum,Plantae,Tracheophyta,x,x,x,x,x
Trichoptera,ITIS,order,Animalia,Arthropoda,Insecta,Trichoptera,x,x,x
Trimorphodon biscutatus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Trimorphodon,Trimorphodon biscutatus
Tringa semipalmatus,ITIS,species,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa semipalmatus
Tropidischia,ITIS,genus,Animalia,Arthropoda,Insecta,Orthoptera,Rhaphidophoridae,Tropidischia,
Turdidae,ITIS,family,Animalia,Chordata,Aves,Passeriformes,Turdidae,x,x
Turdus migratorius,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus migratorius
Tyrannidae,ITIS,family,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,x,x
Tyrannus vociferans,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,Tyrannus vociferans
Ulmaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,x,x
Ungnadia speciosa,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Ungnadia,Ungnadia speciosa
unknown,not recognized,not recognized,not recognized,not recognized,not recognized,not recognized,not recognized,not recognized,not recognized
Uroctonus,not recognized,genus,Animalia,Arthropoda,Euchelicerata,Scorpiones,Vaejovidae,Uroctonus,x
Urosaurus nigricaudus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Urosaurus,Urosaurus nigricaudus
Usosaurus nigricaudus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Urosaurus,Urosaurus nigricaudus
Uta stanburiana,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Uta,Uta stansburiana
Uta stansburiana,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Uta,Uta stansburiana
Vachellia rigidula,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,Vachellia rigidula
Vertebrata,ITIS,subphylum,Animalia,Chordata,x,x,x,x,x
Vespidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,x,x
Vicia,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,x
Vireo atricapilla,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo atricapilla,Vireo atricapilla
Vireo atricapilla,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo atricapilla
Vitaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,x,x
Vitis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Vitus,x
Vitis californica,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Vitus,Vitis californicus
Vitis girdiana,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Vitus,x
Vitus californicus,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Vitus,Vitis californicus
Vochysiaceae ,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Vochysiaceae ,x,x
Xyloryctes,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaediae,Xyloryctes,
Yucca,not recognized,genus,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Yucca,x
Zaluzania augusta,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Zaluzania,Zaluzania augusta
Zanthoxylum fagara,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,Zanthoxylum fagara
Zapoteca media,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Zapoteca,Zapoteca media
Zea mays,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Zea,Zea mays
Zenaida macroura,ITIS,species,Animalia,Chordata,Aves,Columbiformes,Columbinae,Zenaida,Zenaida macroura
Zonotrichia albicollis,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia,Zonotrichia albicollis
Zootermopsis,ITIS,genus,Animalia,Arthropoda,Insecta,Blattodea,Termopsidae,Zootermopsis,x
,not recognized,x,x,x,x,x,x,x,x
